Name,Link,Wiki Summary
"Aachen, Hans von",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=5566,No Wikipedia Entry Available for this artist
"Abakanowicz, Magdalena",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10278,"Marta Magdalena Abakanowicz-Kosmowska (20 June 1930 – 20 April 2017) was a Polish sculptor and fiber artist. She is notable for her use of textiles as a sculptural medium. She is widely regarded as one of Poland's most internationally acclaimed artists. She was a professor at the Academy of Fine Arts in Poznań, Poland from 1965 to 1990 and a visiting professor at University of California, Los Angeles in 1984."
"Abate, Niccolò dell'",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474,No Wikipedia Entry Available for this artist
"Abbate, Niccolò dell'",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474,No Wikipedia Entry Available for this artist
"Abbati, Pietro Giovanni",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=21155,No Wikipedia Entry Available for this artist
"Abbatini, Guido Ubaldo",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=19745,No Wikipedia Entry Available for this artist
"Abbe, Elfriede Martha",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2855,"Elfriede Martha Abbe (1919–2012) was an American sculptor, wood engraver and botanical illustrator, often displaying nature and simple country living inspired by her Upstate New York home. A self-publisher, Abbe created numerous hand-printed books, which she printed on a printing press in her studio."
"Abbé, Salomon van",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2856,"Salomon van Abbé (born Amsterdam, 31 July 1883, died London, 28 February 1955), also known as Jack van Abbé or Jack Abbey, was an artist, etcher and illustrator of books and magazines."
"Abbe, William Parker",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33127,"William Abbe (1800–1854) was an Iowa state senator and is believed to have been the first white settler in Linn County, Iowa. Originally from Ohio, he traveled west in search of land in 1836. Little is known about Abbe until this time.  Abbe Creek, on which he established his homestead, still bears his name today.  A one-room school house was established on the homestead site in 1856 and still stands today bearing the name of Abbe Creek School. He died in 1854 in California and was buried in Sacramento."
"Abbey, Edwin Austin",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2337,No Wikipedia Entry Available for this artist
"Abbiati, Giuseppe",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=14725,"Giuseppe Abbiati was an Italian engraver, active during the beginning of the 18th century in Milan. He etched some small prints of battles, and allegorical subjects of his own design."
"Abbott, Berenice",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=13553,"Berenice Abbott (July 17, 1898 – December 9, 1991), née Bernice Alice Abbott, was an American photographer best known for her portraits of between-the-wars 20th century cultural figures, New York City photographs of architecture and urban design of the 1930s, and science interpretation in the 1940s to 1960s.

"
"Abbott, John White",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10979,"Sir John Joseph Caldwell Abbott,  (March 12, 1821 – October 30, 1893), was a Canadian lawyer and politician, Freemason, who served as the third prime minister of Canada, in office from 1891 to 1892. He held office as the leader of the Conservative Party.
Abbott was born in what is now Saint-André-d'Argenteuil, Quebec. He studied law at McGill University and became one of Montreal's best-known lawyers, later returning to McGill as a professor of law and earning a Doctor of Civil Law degree. He was perhaps best known for his successful defence of the perpetrators of the St. Albans Raid. Abbott involved himself in politics from a young age, signing the Montreal Annexation Manifesto in 1849 – which he later regretted – and winning election to the Legislative Assembly of the Province of Canada in 1860. In the lead-up to Confederation he was a prominent advocate for the rights of English-speaking Quebecers.
In the 1867 federal election, Abbott was elected to the new House of Commons of Canada as a member of the Conservative Party. A telegram leaked from his office played a key part in the Pacific Scandal of 1873, which led to the downfall of John A. Macdonald's first government. Abbott was appointed to the Senate in 1887, in order to become Leader of the Government in the Senate. He became prime minister in June 1891 following Macdonald's death in office. Abbott was 70 years old at the time, and served only until November 1892 when he retired due to ill health. He died the following year."
"Abbott, Lemuel Francis",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=22,No Wikipedia Entry Available for this artist
"Abe, Nobuya",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2857,No Wikipedia Entry Available for this artist
"Abel, Mike",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210,No Wikipedia Entry Available for this artist
"Abel, Myer",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210,No Wikipedia Entry Available for this artist
